db_size,create_user,create_friendship,create_post,like_post,edit_post,timeline,remove_user
100,0.000469017,0.000945916,0.0004772,0.000635118,0.000581059,0.000526319,0.000966702
1000,0.001008196,0.000655894,0.000577397,0.000588818,0.000510802,0.00052546,0.001085162
10000,0.00109808,0.002647123,0.001714759,0.001529784,0.001365261,0.001244841,0.001916819
