,create_user,create_friendship,create_post,like_post,edit_post,timeline,remove_user
100,0.00046901702880859376,0.0009459161758422852,0.00047719955444335937,0.0006351184844970703,0.000581059455871582,0.0005263185501098633,0.0009667015075683593
1000,0.0010081958770751954,0.0006558942794799805,0.0005773973464965821,0.0005888175964355468,0.0005108022689819336,0.0005254602432250977,0.0010851621627807617
10000,0.0010980796813964844,0.0026471233367919922,0.00171475887298584,0.0015297842025756836,0.0013652610778808593,0.0012448406219482421,0.0019168186187744141
