,create_user,create_friendship,create_post,like_post,edit_post,timeline,remove_user
100,2.6001930236816407e-05,3.0679702758789064e-05,2.913951873779297e-05,2.7718544006347657e-05,2.2978782653808593e-05,2.0723342895507813e-05,2.372264862060547e-05
1000,2.6483535766601562e-05,5.069732666015625e-05,3.746509552001953e-05,5.270004272460937e-05,3.628253936767578e-05,2.959728240966797e-05,5.089759826660156e-05
10000,2.7799606323242186e-05,0.00023790359497070313,0.00015984058380126952,0.0003486967086791992,0.0001318216323852539,0.00014763832092285156,0.00013501644134521483
