,create_user,create_friendship,create_post,like_post,edit_post,timeline,remove_user
100,0.0006188154220581055,0.0011560821533203125,0.0009388589859008789,0.0005647802352905274,0.0006517648696899414,0.0010638189315795897,0.0013780784606933594
1000,0.0011278390884399414,0.0013160371780395507,0.0015238237380981446,0.0007703590393066406,0.0005901241302490234,0.0008935165405273437,0.001589980125427246
10000,0.0021085023880004885,0.0019286012649536134,0.0017662382125854493,0.0019554185867309572,0.0013946008682250977,0.001871480941772461,0.0033510398864746095
